,C,O,c,1,c,(,C,N,C,(,C,N,c,2,c,c,(,[,N,+,],(,[,O,-,],),=,O,),c,c,(,F,),c,2,),=,O,),c,(,O,C,),c,c,(,O,C,),c,1
c,0.023740672,0.013145767,0.02643233,0.011158612,0.03413439,0.025490452,0.1119678,0.036375187,0.026720138,0.0231905,0.06694656,0.012466344,0.01612579,0.004824521,0.013718147,0.0011118947,0.0012088423,0.01478547,0.0048167724,0.006561519,0.010777727,0.0037942156,0.015465932,0.0060779685,0.002306214,0.008796339,0.0025442434,0.019397551,0.005388384,0.0025750962,0.019121874,0.00073417596,0.0010180104,0.016264241,0.012151112,0.025694197,0.0008240719,0.007139111,0.027795188,0.016643735,0.006698306,0.025720088,0.009009431,0.065784626,0.020443643,0.009984339,0.031835474,0.0017859595,0.0028935827,0.038987696,0.014331584,0.009198258,0.033321638,0.002448842
(,0.0009714712,0.0017721333,0.0056457934,0.09953149,0.0042380597,0.357513,0.0052294387,0.008787319,0.02747069,0.008994911,0.027018314,0.007816535,0.005970358,0.2364765,0.0024142556,0.017874328,0.03828318,0.00023054183,0.0016826068,0.00063088845,0.00015238932,0.004845921,0.00027793858,0.0010456413,0.001336029,0.00011389534,0.002968178,0.00027418873,2.728841e-05,0.0017144558,0.00021472084,0.0005446462,0.0037093023,0.00016851093,4.4121287e-05,0.0002300468,0.0038235974,0.00034369607,0.00044238605,0.00028726138,0.020054914,0.0005310268,0.074176125,0.0017262828,0.0032754308,0.00090941857,0.0005214814,0.0015550033,0.008448576,0.000599332,0.0017724856,0.0006251788,0.00047066563,0.003038259
C,0.0077467053,0.059191864,0.0058969064,0.00083650625,0.026594955,0.0014141477,0.038174953,0.03343053,0.0015708721,0.050546773,0.02216606,0.030594759,0.012087918,0.0010826807,0.03667664,0.0011054168,0.00078702415,0.08060252,0.007928643,0.014003392,0.0871184,0.0009944193,0.03249823,0.004187327,0.0011703566,0.010318712,0.00059446524,0.005132286,0.014264426,0.00077062496,0.006868401,0.0009631957,0.0007854233,0.07555253,0.111447036,0.010469105,0.00055864226,0.013016506,0.0053736125,0.023526836,0.0006239907,0.0044686096,0.0005112587,0.026445093,0.005353268,0.044096548,0.005132485,0.00018532385,0.00019780718,0.015943468,0.004645427,0.032641858,0.004994045,0.00018671031
N,0.011334588,0.011441607,0.005921639,0.00048087593,0.1191231,0.000546987,0.053354733,0.012889108,0.0021617205,0.008032596,0.008927146,0.0057573854,0.0096087875,0.00059398776,0.10746048,0.0008533702,0.00060621946,0.07917189,0.0062863217,0.007521248,0.023261445,0.001180342,0.015855337,0.002352512,0.0013879063,0.0040081935,0.0008372321,0.0096888635,0.003751631,0.0014021555,0.013259171,0.00088536163,0.0008720157,0.096451744,0.09392693,0.018618373,0.000828948,0.046802457,0.011104158,0.008927234,0.0016415026,0.0080697965,0.00043579837,0.06337671,0.0065735825,0.00957277,0.009063855,0.00036234682,0.00022035158,0.031391606,0.0039306236,0.005768724,0.0069083464,0.00031027617
C,0.007112411,0.0035691352,0.0006394662,5.367792e-05,0.026709354,5.92468e-05,0.010027185,0.0047677127,0.00059205433,0.008987173,0.0026734238,0.0095850695,0.005386894,0.00015464409,0.08009691,0.00063970435,0.0002680365,0.11752391,0.0050600395,0.014891641,0.063009694,0.0009198206,0.030108511,0.0025224271,0.0015510062,0.021457696,0.0008974491,0.013853432,0.037072875,0.001643371,0.021607682,0.0027606823,0.0006025676,0.10618542,0.15198639,0.020360466,0.0013659553,0.09309798,0.010124139,0.020993698,0.00055582984,0.0075985934,4.237127e-05,0.008006329,0.0009551851,0.0057219616,0.0049756486,0.00045680086,0.00014548417,0.014590387,0.0017488688,0.007383469,0.0041659405,0.00031078325
(,0.0060694846,0.008164481,0.0039968155,0.0008720203,0.3083148,0.0006740173,0.059468843,0.0037080944,0.001003427,0.0008059702,0.0017987718,0.00053431524,0.0019575013,0.00035347065,0.10361336,0.0022843424,0.000871871,0.024362542,0.0036624882,0.0016962418,0.0033736369,0.0009567679,0.004354589,0.001905614,0.001069645,0.0011703966,0.0009746471,0.0051419158,0.0007233895,0.0009386857,0.006168931,0.0010147739,0.00096178206,0.025863426,0.0102704,0.00921446,0.0042598047,0.08946472,0.0061974167,0.0014968266,0.0013776005,0.0059710154,0.0013340618,0.1403526,0.0051450497,0.006712298,0.007106803,0.0015684536,0.00044968736,0.020486517,0.0018784413,0.0023663447,0.005048508,0.0013500442
=,0.0074381093,0.010355999,0.0051492443,0.00023509597,0.07574947,0.00016496665,0.02523639,0.004169626,0.0007162265,0.0021858765,0.0029758026,0.0018962293,0.0066562267,0.00018614133,0.07048003,0.0007831982,0.0004806816,0.09102725,0.0076152976,0.0071512884,0.04874885,0.0009067129,0.01597874,0.0026523,0.002060766,0.004451547,0.0007374642,0.007305551,0.004657414,0.0014837389,0.010002446,0.0024805805,0.0015859493,0.11901334,0.20179425,0.016590517,0.0016034736,0.06084701,0.008473146,0.0069188275,0.00077447755,0.005558021,0.00032505786,0.062272593,0.0070352196,0.009135738,0.0067958655,0.00047846645,0.00011396357,0.015110506,0.0022364073,0.0031299694,0.004548918,0.0003325281
O,0.0010245697,0.0023897435,0.0007624575,5.2859312e-05,0.0030709186,3.555168e-05,0.00074139074,0.0004909579,0.000106398875,0.001457026,0.0003900035,0.0010804195,0.0024390556,0.0001256861,0.01238576,0.0010125685,0.0005864361,0.032990374,0.0064571737,0.016671384,0.301234,0.0004583634,0.01952365,0.0029830388,0.0022929409,0.013203236,0.0004344149,0.0018319306,0.012213598,0.0010547185,0.0022954778,0.008831513,0.0026503447,0.04073442,0.43985793,0.0031373187,0.0034076504,0.03568647,0.001320564,0.0039417027,0.000104780986,0.0007701712,6.510045e-05,0.001969309,0.0010201875,0.0025767642,0.00053813733,0.000117094474,1.9592091e-05,0.0005994022,0.00032889136,0.00078626635,0.0003828437,7.70533e-05
),0.0023074953,0.0042112656,0.002684271,0.000128809,0.0041119843,6.799958e-05,0.0013305808,0.0011870544,0.00035009006,0.0020418742,0.00090597395,0.002206896,0.0065331543,0.00036257086,0.014630227,0.0017377645,0.0014419027,0.043745566,0.010370868,0.015046337,0.16050856,0.0010493043,0.016208386,0.0036970202,0.0066430042,0.009395498,0.0009450603,0.0030031402,0.012599987,0.0039410857,0.0039697504,0.013509816,0.0066380235,0.061207823,0.5072067,0.0055119223,0.0037749633,0.022575177,0.0026747293,0.0068875845,0.00061418355,0.0015448385,0.00019276205,0.0041417554,0.003995637,0.0047932137,0.0014872608,0.00042465545,8.656359e-05,0.0017609562,0.0012174352,0.0015983789,0.0009516893,0.00024295031
C,0.0016757199,0.0033163014,0.0039907675,0.0003993587,0.0010754172,0.00030742254,0.00039047064,0.0017829663,0.000661285,0.0067075924,0.0017947189,0.008067703,0.008941959,0.0013837611,0.0050818445,0.002879371,0.0044119125,0.025162809,0.017853644,0.0400008,0.23125134,0.0025666393,0.016963197,0.0053584985,0.016186403,0.010502617,0.0018250168,0.0019178615,0.010592897,0.0075336923,0.002110483,0.029822467,0.022742802,0.034234866,0.42319515,0.0033758788,0.0067592957,0.009317299,0.0017764082,0.008248132,0.001364089,0.0008677542,0.00056159304,0.0010826894,0.004162387,0.0030036329,0.00066061807,0.00022298613,7.436661e-05,0.0003098835,0.00069031556,0.00066899956,0.00039314994,0.00014092344
N,0.0012241408,0.0029415782,0.0039637093,0.00082839886,0.0018580285,0.0006414699,0.0010705255,0.0008243371,0.0005031602,0.0024771588,0.0027050108,0.0033300277,0.010625883,0.003960252,0.009118109,0.014161138,0.015577537,0.030180015,0.023726502,0.019902742,0.3294501,0.0025687418,0.017429238,0.0064652185,0.018856231,0.0067008627,0.0019512124,0.00094642537,0.005505238,0.008892231,0.0010444206,0.05705468,0.036906708,0.02321501,0.27930394,0.0014399136,0.018694118,0.009583903,0.0009284532,0.003649989,0.0012154354,0.0005039312,0.0012589627,0.00266588,0.0048108413,0.0024439446,0.00039726097,0.0006196947,0.0001525503,0.00038248053,0.00077585084,0.00047946407,0.00023724318,0.0004186555
c,0.011897386,0.008963748,0.0042087496,0.0002581845,0.022882793,0.00014261696,0.009069681,0.0034472025,0.0012078703,0.002690715,0.0017196959,0.0025380556,0.009795193,0.0003669689,0.042610746,0.0011588165,0.0007575265,0.06154253,0.008884677,0.012498234,0.04307639,0.0017575449,0.021708917,0.005580269,0.0034089864,0.016626032,0.001988869,0.02163094,0.019915009,0.0033459228,0.031047167,0.0054135527,0.0023078339,0.08616973,0.25633833,0.032764245,0.0019214504,0.048636667,0.01915962,0.009187124,0.0009928022,0.013305381,0.00027894645,0.016832272,0.0064000217,0.011027356,0.01590436,0.0015502014,0.0005055709,0.021451863,0.005721473,0.009542022,0.013671952,0.0011402933
2,0.0005235408,0.00040767723,0.00047860455,1.2778273e-05,0.00041033173,1.0761647e-05,0.00015788505,0.00018765074,5.5485852e-05,0.00068702106,0.00029511232,0.00068454724,0.0021783183,4.8247923e-05,0.0025901804,0.00014073987,0.00014507539,0.015826343,0.0036288968,0.010221687,0.30685645,0.00026388853,0.009625877,0.0012725699,0.0016429627,0.006294394,0.00019109124,0.0011081836,0.0053083403,0.0007502097,0.001371272,0.0034416586,0.0012596395,0.02262892,0.5821188,0.0022063593,0.0005180188,0.006694551,0.0010094097,0.0022293376,6.2083935e-05,0.0004194482,1.7390154e-05,0.00043792956,0.0006080191,0.00045639006,0.00029718608,1.5556267e-05,2.7297606e-06,0.00012930977,0.000115267765,0.00010906112,0.00017839404,9.29656e-06
c,0.0034209923,0.0021115495,0.0017746012,4.8816062e-05,0.005523883,4.1227304e-05,0.0017261829,0.00094145915,0.0003268667,0.0016114825,0.0012778646,0.0022180623,0.01041067,0.0001768654,0.02352894,0.00051066396,0.0003651201,0.043278415,0.00810025,0.0106684705,0.16568512,0.00093319855,0.015030036,0.0035874983,0.0032717858,0.010733395,0.00076959084,0.0069970414,0.008736705,0.0021920162,0.009782505,0.0044748615,0.0017766792,0.06271383,0.49378824,0.014428212,0.0012234867,0.029489238,0.007633659,0.005612364,0.00042662284,0.0037122483,6.797888e-05,0.0038770358,0.00249994,0.002427284,0.003514852,0.00010937496,2.1070402e-05,0.0015059488,0.0007428275,0.00083662913,0.0021994384,6.943622e-05
c,0.0009780088,0.00016575148,0.00019349596,3.8039288e-06,0.0002565579,5.899928e-06,0.00043379885,0.00016229741,4.980451e-05,0.00031151666,0.0013865256,0.0008785571,0.0045229183,1.0658904e-05,0.0013779836,1.7430353e-05,1.6688069e-05,0.020411434,0.0011863699,0.0032117,0.11950205,8.1152684e-05,0.006842206,0.00039822163,0.00032402368,0.0043900637,5.013858e-05,0.0028220038,0.0016003657,0.00014180395,0.0041351,0.000809134,0.00024602443,0.025874428,0.77572817,0.007996261,6.238205e-05,0.0012882616,0.004320959,0.001356959,2.0233876e-05,0.001460252,4.619456e-06,0.00046359314,0.00023481883,0.0001492195,0.0014975903,4.461338e-06,8.468187e-07,0.00013531932,4.7632013e-05,4.5209385e-05,0.00083375006,3.343584e-06
(,0.0010248609,0.00029375276,0.000493421,8.885106e-06,0.0006326799,1.001341e-05,0.00023918523,0.0002117789,8.6903194e-05,0.0007840462,0.0005986895,0.0012948859,0.0058489675,6.523383e-05,0.005776903,0.0001224188,0.00011286314,0.019871358,0.004023916,0.008315477,0.23836389,0.00038153588,0.008801299,0.0014536602,0.0017429031,0.0063776677,0.0002642086,0.0024463295,0.00421434,0.001024852,0.0032983413,0.0022373793,0.0007632785,0.025170093,0.6295298,0.0050250045,0.00029999492,0.007590479,0.0027412132,0.0023566077,0.00011787776,0.0009772815,1.1217962e-05,0.00046790752,0.00058791996,0.00030329332,0.00069758616,9.083951e-06,1.7726492e-06,0.0001482418,0.00012213696,8.416787e-05,0.00041760955,5.9680797e-06
F,0.014848272,0.00591195,0.0038447962,0.00020156552,0.036228396,0.000110618465,0.012258421,0.0026786511,0.0012278369,0.0015364827,0.0014862503,0.0015470062,0.008535715,0.00025027012,0.05388266,0.0008196675,0.00048965524,0.057351213,0.006907097,0.008260045,0.024583045,0.0016597343,0.016805587,0.004631586,0.002709721,0.0129603045,0.0019135186,0.03090192,0.015115545,0.0030704297,0.044967644,0.0033804218,0.0014850389,0.08490041,0.18031381,0.04736411,0.0014470586,0.058122106,0.029116668,0.008045511,0.0011750162,0.0206882,0.00022921267,0.023127712,0.005890169,0.0075402204,0.025468409,0.0015439265,0.0004797718,0.030269157,0.0055347723,0.0070669753,0.021341031,0.0011169182
